DFRP-No_No-RBIF,Asset-name_Nom_du_bien,Street-number_Numéro-civique,Address_Adresse,City_Ville,Province-Code_Code-de-province,Province_Territory_Province_Territoire,Postal-code_Code-postal,Asset-type_Type-de-bien,Asbestos_Amiante,Mgmt-plan_Plan-gest
32442,"Cargill Building",240,"Graham Avenue",Winnipeg,MB,Manitoba,"R3C 0J7",Lease,No,Yes
21010,"365 Hargrave Street",365,"Hargrave Street",Winnipeg,MB,Manitoba,"R3B 2K3",Lease,Yes,Yes
152181,"111 Lombard Avenue",111,"Lombard Avenue",Winnipeg,MB,Manitoba,"R3B 0T4",Lease,No,"Not required"
53753,"Grain Exchange Building",167,"Lombard Avenue",Winnipeg,MB,Manitoba,"R3B 0T6",Lease,Yes,Yes
20752,"Via Rail Station",123,"Main Street",Winnipeg,MB,Manitoba,"R3C 1A3",Lease,Yes,Yes
12626,"Victory Building",269,"Main Street",Winnipeg,MB,Manitoba,"R3C 1B2",Crown-owned,Yes,Yes
32088,"Commodity Exchange and Winnipeg Square",360,"Main Street",Winnipeg,MB,Manitoba,"R3C 3Z3",Lease,Yes,Yes
6432,"Office Building",433,"Main Street",Winnipeg,MB,Manitoba,"R3B 1B3",Lease,Yes,Yes
152188,"Rivergrove Shopping Centre",2599,"Main Street",Winnipeg,MB,Manitoba,"R3Y 0Z9",Lease,No,"Not required"
12648,"Cdn Grain Commission Building",303,"Main Street",Winnipeg,MB,Manitoba,"R3C 3G7",Crown-owned,Yes,Yes
10648,"1080 McDermot",1080,"McDermot Avenue",Winnipeg,MB,Manitoba,"R3E 3S6",Lease,No,"Not required"
12631,"Customs Examining Warehouse",145,"McDermot Avenue",Winnipeg,MB,Manitoba,"R3B 0R9",Crown-owned,Yes,Yes
10123,"Office/Storage and Warehouse Building",61-85,"Muir Road",Winnipeg,MB,Manitoba,"R2X 2X7",Lease,No,"Not required"
25836,Building,3-330,"Portage Avenue",Winnipeg,MB,Manitoba,"R3K 0Z1",Lease,No,"Not required"
46414,"Portage Place",393,"Portage Avenue",Winnipeg,MB,Manitoba,"R3B 3H6",Lease,No,"Not required"
12612,"Royal Canadian Mounted Police 'D' Division Police Divisional Headquarters",1091,"Portage Avenue",Winnipeg,MB,Manitoba,"R3G 0S6",Crown-owned,Yes,Yes
151742,"Crestview Shopping Centre",3393,"Portage Avenue",Winnipeg,MB,Manitoba,"R3K 2G7",Lease,No,"Not required"
13145,"Warehouse Building",975,"Sherwin Road",Winnipeg,MB,Manitoba,"R3H 0T8",Lease,Yes,Yes
53617,"400 Saint Mary Office Building",400,"St. Mary Avenue",Winnipeg,MB,Manitoba,"R3C 4K5",Lease,No,"Not required"
17708,"Office Building",1001,"St Mary's Road",Winnipeg,MB,Manitoba,"R2M 3S4",Lease,No,"Not required"
21476,"330 St. Mary Ave, Winnipeg, MB",330,"St. Mary Avenue",Winnipeg,MB,Manitoba,"R3C 3Z5",Lease,Yes,Yes
12702,"Winnipeg Taxation Centre",66,"Stapon Road",Winnipeg,MB,Manitoba,"R3C 3M2",Crown-owned,Yes,Yes
53755,"Airport Place",1821,"Wellington Avenue",Winnipeg,MB,Manitoba,"R3H 0G4",Lease,Yes,Yes
31575,"Revenue Canada Warehouse",201,"Weston Street",Winnipeg,MB,Manitoba,"R3C 3H4",Crown-owned,No,Yes
12633,"Stanley Knowles Federal Building",391,"York Avenue",Winnipeg,MB,Manitoba,"R3C 0P4",Crown-owned,No,Yes
46172,"Old Royal Canadian Mounted Police Building",401,"27th Street West",Battleford,SK,Saskatchewan,"S0M 0E0",Lease,No,"Not required"
21729,"Buffalo Narrows","5, 1491","Pederson Avenue","Buffalo Narrows",SK,Saskatchewan,"S0M 0J0",Lease,No,"Not required"
46519,"Post Office",,"Main Street",Eastend,SK,Saskatchewan,"S0N 0T0",Lease,No,"Not required"
20918,"Office Building",419,"Kensington Avenue",Estevan,SK,Saskatchewan,"S4A 0S2",Lease,No,"Not required"
6590,"Treaty Four Governance Centre",740,"Sioux Avenue","Fort Qu'Appelle",SK,Saskatchewan,"S0G 1S0",Lease,No,"Not required"
152180,Building,503,"La Ronge Avenue","La Ronge",SK,Saskatchewan,"S0J 1L0",Lease,No,"Not required"
21482,"Credit Union",115,"Jasper Street","Maple Creek",SK,Saskatchewan,"S0N 1N0",Lease,No,"Not required"
9931,"McKendry Plaza",100,"Main Street",Melfort,SK,Saskatchewan,"S0E 1A0",Lease,No,"Not required"
6170,"Office Building",111,"Fairford Street East","Moose Jaw",SK,Saskatchewan,"S6H 7X5",Lease,No,"Not required"
151784,"North Battleford HRSDC",1411,"101 Street","North Battleford",SK,Saskatchewan,"S9A 3W6",Lease,No,"Not required"
21555,"South Hill Mall",2995,"2nd Avenue West","Prince Albert",SK,Saskatchewan,"S6V 5V5",Lease,No,"Not required"
8365,"Office Building",125,"32th Street West","Prince Albert",SK,Saskatchewan,"S6V 8E2",Lease,No,"Not required"
46086,"John E MacDonald Memorial Building",3601,"5th Avenue East","Prince Albert",SK,Saskatchewan,"S6V 5S5",Lease,No,"Not required"
152189,"1288 Central Ave",1288,"Central Avenue","Prince Albert",SK,Saskatchewan,"S6V 4V8",Lease,No,"Not required"
21337,"Crossroads Building",1725,"11th Avenue",Regina,SK,Saskatchewan,"S4P 0H7",Lease,No,"Not required"
15296,"Broad Street Crossing",1800,"11th Avenue",Regina,SK,Saskatchewan,"S4P 0H8",Lease,No,"Not required"
6528,"Bank of Montreal Building",2103,"11th Avenue",Regina,SK,Saskatchewan,"S4P 3Z8",Lease,No,"Not required"
151864,"1827 Albert St",1827,"Albert Street",Regina,SK,Saskatchewan,"S4P 2S9",Lease,No,"Not required"
53556,"Saskatchewan Place",1870,"Albert Street",Regina,SK,Saskatchewan,"S4P 4B7",Lease,Yes,Yes
21556,"1735 Francis St, Regina, SK",1735,"Francis Street",Regina,SK,Saskatchewan,"S4N 7N2",Lease,No,"Not required"
22217,"Hill Centre Tower III",1870,"Hamilton Street",Regina,SK,Saskatchewan,"S4P 2B8",Lease,No,"Not required"
53743,"Hamilton Residences",1871,"Hamilton Street",Regina,SK,Saskatchewan,"S4P 2B9",Lease,Yes,Yes
10497,"Grenfell Tower",1945,"Hamilton Street",Regina,SK,Saskatchewan,"S4P 2C7",Lease,No,"Not required"
9678,"Alvin Hamilton Building",1783,"Hamilton Street",Regina,SK,Saskatchewan,"S4P 2B6",Crown-owned,No,"Not required"
17895,"The Building",65,"Kress Street",Regina,SK,Saskatchewan,"S4N 5X8",Lease,No,"Not required"
9416,"Leased Building",2510,"Sandra Schmirler Way",Regina,SK,Saskatchewan,"S4W 1B6",Lease,No,"Not required"
13689,"Government of Canada Building Regina",1975,"Scarth Street",Regina,SK,Saskatchewan,"S4P 2H1",Crown-owned,Yes,Yes
13686,"Income Tax Building",1955,"Smith Street",Regina,SK,Saskatchewan,"S4P 2N9",Crown-owned,Yes,Yes
15296,"Broad Street Crossing",1800,"11th Avenue",Regina,SK,Saskatchewan,"S4M 0A1",Lease,No,"Not required"
14177,"Government of Canada Building Saskatoon",101,"22th Street East",Saskatoon,SK,Saskatchewan,"S7K 0E1",Crown-owned,Yes,Yes
23795,"Financial Building",230,"22th Street East",Saskatoon,SK,Saskatchewan,"S7K 0E9",Lease,No,"Not required"
6265,"Saskatoon Square",410,"22th Street East",Saskatoon,SK,Saskatchewan,"S7K 5T6",Lease,No,"Not required"
16024,"KG Parkade",101,"23rd Street",Saskatoon,SK,Saskatchewan,"S7K 0J1",Lease,No,"Not required"
46343,"Princeton Tower",123,"2nd Avenue South",Saskatoon,SK,Saskatchewan,"S7K 7E6",Lease,No,"Not required"
10092,"T and T Towers",350,"3rd Avenue North",Saskatoon,SK,Saskatchewan,"S7K 6G7",Lease,Yes,Yes
10015,"Innovation Place",421,"Downey Road",Saskatoon,SK,Saskatchewan,"S7N 4L8",Lease,No,"Not required"
152187,"3427 Faithfull Ave",3427,"Faithfull Avenue",Saskatoon,SK,Saskatchewan,"S7K 8H6",Lease,No,"Not required"
17920,"Property Number 17920",2309,"Hanselman Place",Saskatoon,SK,Saskatchewan,"S7L 6A9",Lease,No,"Not required"
151932,"Market Mall",2325,"Preston Avenue",Saskatoon,SK,Saskatchewan,"S7J 2G2",Lease,No,"Not required"
8896,"University of Saskatchewan",108,"Research Drive",Saskatoon,SK,Saskatchewan,"S7N 3R3",Lease,No,Yes
14155,"Psychiatric Centre",,SE11-37-5-W3,Saskatoon,SK,Saskatchewan,"S7K 3X5",Lease,No,"Not required"
53563,"Calibration Lab",2404,"Thayer Avenue",Saskatoon,SK,Saskatchewan,"S7L 6B4",Lease,No,"Not required"
53636,"Office Building",100,"Railway Avenue",Spiritwood,SK,Saskatchewan,"S0J 2H0",Lease,No,"Not required"
53610,"Chinook Centre Office Building",250,"Central Avenue North","Swift Current",SK,Saskatchewan,"S9H 0L2",Lease,No,"Not required"
15298,"Office Building",1677,"Sidney Street","Swift Current",SK,Saskatchewan,"S9H 5H1",Lease,No,"Not required"
21310,"MNP Place",117,"3rd Street",Weyburn,SK,Saskatchewan,"S4H 0W3",Lease,No,Yes
53604,"J A Peppar Building",110,"Souris Avenue",Weyburn,SK,Saskatchewan,"S4H 2Z8",Lease,No,"Not required"
21185,"Re/Max Blue Chip Realty",80,"Palliser Way",Yorkton,SK,Saskatchewan,"S3N 4C5",Lease,No,"Not required"
53522,"Imperial Plaza",214,"Smith Street",Yorkton,SK,Saskatchewan,"S3N 3S6",Lease,No,"Not required"
154004,Building,211,"1st Avenue East",Brooks,AB,Alberta,"T1R 0G9",Lease,"Work in progress","Work in progress"
151865,"Centre 10",517,"10th Avenue Southwest",Calgary,AB,Alberta,"T2R 0A8",Lease,No,"Not required"
53619,"McKnight Building (Warehouse - Calibration Laboratory)",4712,"13th Street Northeast",Calgary,AB,Alberta,"T2E 6P1",Lease,No,Yes
15226,"Harry Hays Building",220,"4th Avenue Southeast",Calgary,AB,Alberta,"T2G 4X3",Lease,Yes,Yes
53701,"Barclay Centre",606,"4th Street Southwest",Calgary,AB,Alberta,"T2P 1T1",Lease,No,"Not required"
53729,Building,150,"6th Avenue Soutwest",Calgary,AB,Alberta,"T2P 3Y7",Lease,No,"Not required"
16919,"Bantrel Tower",700,"6th Avenue Soutwest",Calgary,AB,Alberta,"T2P 0T8",Lease,No,"Not required"
17715,"Centennial Parkade",635,"8th Avenue",Calgary,AB,Alberta,"T2P 3M3",Lease,Yes,Yes
6523,"Duncan Building (Panasonic)",7575,"8th Steet Northeast",Calgary,AB,Alberta,"T2E 8A2",Lease,No,"Not required"
53754,"Airport Corporate Centre",1601,"Airport Road",Calgary,AB,Alberta,"T2E 6Z8",Lease,No,Yes
15157,"Calgary International Airport",2000,"Airport Road",Calgary,AB,Alberta,"T2E 6W5",Lease,Yes,Yes
11076,"Bisma Centre",110,"Country Road Hills Northwest",Calgary,AB,Alberta,"T3K 5P3",Lease,No,"Not required"
10580,"One Executive Place",1816,"Crowchild Trail Northwest",Calgary,AB,Alberta,"T2M 3Y7",Lease,No,"Not required"
15172,"Manhattan Building",4415,"Manhattan Road Southeast",Calgary,AB,Alberta,"T2G 4B3",Lease,No,"Not required"
17354,"Cantex Building",225,"Manning Road Northeast",Calgary,AB,Alberta,"T2E 2P5",Lease,No,"Not required"
22381,"Royal Vista Professional Centre",15,"Royal Vista Place",Calgary,AB,Alberta,"T3R 0N2",Lease,No,"Not required"
2407,"5401 Temple",5401,"Temple Drive NE",Calgary,AB,Alberta,"T1Y 3R7",Lease,No,"Not required"
53705,"Camrose Office Building",4901,"50th Avenue",Camrose,AB,Alberta,"T4V 0S2",Lease,No,"Not required"
13610,"Canmore Gateway Shoppes",802,"Bow Valley Trail",Canmore,AB,Alberta,"T1W 1N6",Lease,No,"Not required"
21114,"Epcor Tower",10423,"101th Street Northwest",Edmonton,AB,Alberta,"T5H 0E7",Lease,No,"Not required"
6536,"Bell Tower",10104,"103rd Avenue Northwest",Edmonton,AB,Alberta,"T5J 0H8",Lease,No,"Not required"
21557,"104 Street Place",10345,"104th Street Northwest",Edmonton,AB,Alberta,"T5J 1B9",Lease,No,"Not required"
46408,"Kelly Building",17803,"106A Avenue Northwest",Edmonton,AB,Alberta,"T5S 1V8",Lease,No,"Not required"
15986,"The Baker Center Building",10025,"106th Street",Edmonton,AB,Alberta,"T5J 1S6",Lease,Yes,Yes
22709,"16825 - 107 ave Building",16825,"107th Avenue Northwest",Edmonton,AB,Alberta,"T5K 0P4",Lease,No,"Not required"
7592,"Capital Boulevard Building",10044,"108th Street Northwest",Edmonton,AB,Alberta,"T5J 3S7",Lease,Yes,Yes
104340,"Royal Canadian Mounted Police 'K' Division Headquarters Garage Carwash",11140,"109th Street",Edmonton,AB,Alberta,"T5G 2T4",Crown-owned,No,"Not required"
15659,"Royal Canadian Mounted Police 'K' Division Headquarters",11140,"109th Street Northwest",Edmonton,AB,Alberta,"T5G 2T4",Crown-owned,No,"Not required"
13129,"Century Point Business Park - Building E",17504,"111th Avenue Northwest",Edmonton,AB,Alberta,"T5S 0A2",Lease,No,"Not required"
16476,"Winfield Lands",17412,"116th Avenue",Edmonton,AB,Alberta,"T5S 2X2",Lease,No,"Not required"
12548,"Dominion Centre",14540,"121A Avenue",Edmonton,AB,Alberta,"T5L 4L2",Lease,No,"Not required"
21182,"Sharet Business Centre",15825,"121A Avenue",Edmonton,AB,Alberta,"T5V 1B1",Lease,No,"Not required"
153988,Building,10216,"124th Street",Edmonton,AB,Alberta,"T5N 4A3",Lease,"Work in progress","Work in progress"
2408,"Capilano Business Centre Building",4711,"91sh Avenue West",Edmonton,AB,Alberta,"T6B 2M7",Lease,No,"Not required"
46407,"Neufeld Building",9015,"46th Street Northwest",Edmonton,AB,Alberta,"T6B 3B2",Lease,No,"Not required"
46529,"Neufeld Two Building",9021,"46th Street Northwest",Edmonton,AB,Alberta,"T6B 3B2",Lease,No,"Not required"
53703,"M J Greenwood Building",9345,"49th Street Northwest",Edmonton,AB,Alberta,"T6B 2L8",Lease,No,"Not required"
22492,"Eastgate Offices",9240/60,"49th Street Northwest",Edmonton,AB,Alberta,"T6B 1K5",Lease,No,"Not required"
152185,"Hermitage Square",12735,"50 Street",Edmonton,AB,Alberta,"T5A 4L8",Lease,No,"Not required"
53661,"Eastgate Building",9305,"50th Street",Edmonton,AB,Alberta,"T6L 5A2",Lease,No,"Not required"
16472,"Roper Ridge Business Park",5605,"70th Street",Edmonton,AB,Alberta,"T6B 3P6",Lease,No,"Not required"
22187,"Coronet Building",8403,"Coronet Road",Edmonton,AB,Alberta,"T6E 4N7",Lease,No,"Not required"
23234,"10065 Jasper Avenue, Edmonton, AB",10065,"Jasper Avenue",Edmonton,AB,Alberta,"T5J 3B1",Lease,Yes,Yes
29888,"Canada Place",9700,"Jasper Avenue Northwest",Edmonton,AB,Alberta,"T5J 4C3",Lease,No,"Not required"
11840,"A T B Place - North Tower",10025,"Jasper Avenue Northwest",Edmonton,AB,Alberta,"T5J 1S6",Lease,Yes,Yes
46051,"Scotia Place",10060,"Jasper Avenue Northwest",Edmonton,AB,Alberta,"T5J 3R8",Lease,Yes,Yes
18006,"Millbourne Professional Centre","38 Avenue","Millwoods Road",Edmonton,AB,Alberta,"T6K 3L6",Lease,No,"Not required"
19863,"Summerside Centre",1028,"Parsons Road Southwest",Edmonton,AB,Alberta,"T6X 0J4",Lease,No,"Not required"
19423,"Service Canada Centre",4905,"4th Avenue",Edson,AB,Alberta,"T7E 1T5",Lease,No,"Not required"
23342,"McMurray Furniture Home Centre",306,"MacKay Crescent","Fort McMurray",AB,Alberta,"T9H 4E4",Lease,No,"Not required"
146075,"River Ridge Estates",8530,"Manning Avenue","Fort McMurray",AB,Alberta,"T9H 5G2",Lease,No,"Not required"
21102,"Kuusamo Building",405,"Taiga Nova Crescent","Fort McMurray",AB,Alberta,"T9K 0T4",Lease,No,"Not required"
152254,"Sterling Centre",11601,"101th Avenue","Grande Prairie",AB,Alberta,"T8V 3X9",Lease,No,"Not required"
24012,"West side Proffesional Centre",9906,"106th Street","Grande Prairie",AB,Alberta,"T8V 2V4",Lease,No,"Not required"
21069,"214 Place",9909,"102th Street","Grande Prairie",AB,Alberta,"T8V 2V4",Lease,Yes,Yes
27463,"Wright Centre",62,"Woodland Drive","Hay River",AB,Alberta,"X0E 1G1",Lease,"Work in progress","Work in progress"
16478,"Samson Mall",101,"Lake Louise Drive","Lake Louise",AB,Alberta,"T0L 1E0",Lease,No,"Not required"
11156,"Vault Building",3605,"14th Avenue North",Lethbridge,AB,Alberta,"T1H 6P7",Lease,No,"Not required"
1733,Building,427,"7th south Street",Lethbridge,AB,Alberta,"T1H 2G5",Lease,"Work in progress","Work in progress"
154002,"Lethbridge Centre",200,"4th Avenue South",Lethbridge,AB,Alberta,"T1J 4C9",Lease,"Work in progress","Work in progress"
15006,"J. D. Higinbotham Building",704,"4th Avenue South",Lethbridge,AB,Alberta,"T1J 0N8",Lease,Yes,Yes
20581,"The Building",4114,"70th Avenue",Lloydminster,AB,Alberta,"T9V 2X3",Lease,No,"Not required"
9239,"Medical Arts Centre",770,"6th Street Southeast","Medicine Hat",AB,Alberta,"T1A 8M7",Lease,No,"Not required"
19422,"78 8 St NW, Medicine Hat, AB",78,"8th Steet Northwest","Medicine Hat",AB,Alberta,"T1A 6P1",Lease,No,"Not required"
46370,"Office Building",9611,"89th Avenue","Peace River",AB,Alberta,"T8S 1G8",Lease,No,"Not required"
53737,"Wood Building",4805,"48th Avenue","Red Deer",AB,Alberta,"T4N 3T2",Lease,No,"Not required"
15336,"Government of Canada Building Red Deer",4909,"50th Street","Red Deer",AB,Alberta,"T4N 1X8",Crown-owned,Yes,Yes
153910,"First Red Deer Place",4911,"51st Street","Red Deer",AB,Alberta,"T4N 6V4",Lease,"Work in progress","Work in progress"
153551,Building,20,"Thomslison Avenue","Red Deer",AB,Alberta,"T4P 0W3",Lease,"Work in progress","Work in progress"
7407,"Klosse Building",5010A,"50th Avenue","Rocky Mountain House",AB,Alberta,"T4T 1A6",Lease,No,"Not required"
15360,"Airport Terminal",N/A,N/A,"Rocky Mountain House",AB,Alberta,"T0M 1T0",Lease,No,"Not required"
13422,"Sawridge Plaza",100,"Main Street South","Slave Lake",AB,Alberta,"T0G 2A3",Lease,No,"Not required"
151743,"HRSDC Office",4807,"50th Avenue","St. Paul",AB,Alberta,"T0A 3A0",Lease,No,"Not required"
53540,"Chief Joseph Big Plume Building Tsuu T'ina",9911,"Chiila Boulevard","Tsuu T'ina Nation 145",AB,Alberta,"T2W 6H6",Lease,No,"Not required"
20790,"Government of Canada Building Fort Simpson",9606,"100th Street","Fort Simpson",NT,"Northwest Territories","X0E 0K0",Crown-owned,Yes,Yes
103475,"Government of Canada Building - Garage - Ft Simpson",9621,"102nd Street","Fort Simpson",NT,"Northwest Territories","X0E 0N0",Crown-owned,No,"Not required"
31402,"Fort Smith Government of Canada Building",149,"McDougal Road","Fort Smith",NT,"Northwest Territories","X0E 0P0",Crown-owned,No,Yes
20496,"Hay River Government of Canada Building",41,"Capital Drive","Hay River",NT,"Northwest Territories","X0E 0R0",Crown-owned,Yes,Yes
103375,"Garage/Appliance Repair Shop (Prov Lt E)",17,"Franklin Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Crown-owned,Yes,Yes
103373,"Warehouse 2",70,"Franklin Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Crown-owned,No,Yes
21083,"Warehouse 1",78,"Franklin Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Crown-owned,No,Yes
103377,"Warehouse 4 (Old Office)",72B,"Franklin Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Crown-owned,Yes,Yes
19594,"83 Kingmingya Road",83,"Kingmingya Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Lease,No,"Not required"
13593,"Building Inuvik","85 - 89","Kingmingya Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Lease,No,"Not required"
21028,"Inuvik Government of Canada Building",187,Mackenzie,Inuvik,NT,"Northwest Territories","X0E 0T0",Crown-owned,Yes,Yes
21876,"Water Survey Building",122,"Navy Road",Inuvik,NT,"Northwest Territories","X0E 0T0",Lease,No,"Not required"
20659,"Yellowknife Tradeshop",5005,"44th Street",Yellowknife,NT,"Northwest Territories","X1A 1K3",Crown-owned,Yes,Yes
20778,"Henry Larsen (Royal Canadian Mounted Police 'G' Division)",5010,"49th Avenue",Yellowknife,NT,"Northwest Territories","X1A 2R3",Crown-owned,Yes,Yes
6984,"Greenstone Building",5101,"50th Avenue",Yellowknife,NT,"Northwest Territories","X1A 1E1",Crown-owned,No,"Not required"
18293,"Northwest Tower",5201,"50th Avenue",Yellowknife,NT,"Northwest Territories","X1A 1E1",Lease,No,"Not required"
53631,"Diamond Plaza Building",5204,"50th Avenue",Yellowknife,NT,"Northwest Territories","X1A 1E2",Lease,No,"Not required"
20937,"Gallery Building",4923,"52th Street",Yellowknife,NT,"Northwest Territories","X1A 2L9",Lease,No,"Not required"
16751,"Nova Coast Plaza",5019,"52th Street",Yellowknife,NT,"Northwest Territories","X1A 1T5",Lease,No,"Not required"
25941,"Kam Lake Industrial Centre",3,"Coronation Drive",Yellowknife,NT,"Northwest Territories","X1A 3Y2",Lease,Yes,Yes
46492,Warehouse/Lab,3534,"McDonald Drive",Yellowknife,NT,"Northwest Territories","X1A 2H1",Lease,No,"Not required"
16930,"Lot 16 Old Airport Road Site",325C,"Old Airport Road",Yellowknife,NT,"Northwest Territories","X1A 2Z9",Lease,No,"Not required"
21122,"1785 Clearbrook Road",1785,"Clearbrook Road",Abbotsford,BC,"British Columbia","V2T 5X5",Lease,No,"Not required"
11196,Building,32544,"George Ferguson Way",Abbotsford,BC,"British Columbia","V2T 4Y1",Lease,No,"Not required"
21500,"33991 Gladys Ave, Abbotsford, BC",33991,"Gladys Avenue",Abbotsford,BC,"British Columbia","V2S 2E8",Lease,No,"Not required"
16367,Building,1925,"McCallum Road",Abbotsford,BC,"British Columbia","V2S 3N2",Lease,No,"Not required"
12294,"Building B",30585,"Progressive Way",Abbotsford,BC,"British Columbia","V2T 6W3",Lease,No,"Not required"
53379,Building,32525,"Simon Avenue",Abbotsford,BC,"British Columbia","V2T 4W6",Lease,No,"Not required"
53044,"Fisheries and Oceans Building",293,"MacKenzie Highway","Bella Coola",BC,"British Columbia","V0T 1C0",Lease,No,"Not required"
13013,Building,4595,"Canada Way",Burnaby,BC,"British Columbia","V5G 1J9",Lease,No,"Not required"
144253,"100 - 3480 Gilmore Way, Burnaby, BC",3480,"Gilmore Way",Burnaby,BC,"British Columbia","V5G 4Y1",Lease,No,"Not required"
53210,"Metrotower II, Eaton Ctr, Metrotown",4720,Kingsway,Burnaby,BC,"British Columbia","V5H 4N2",Lease,Yes,Yes
21570,"3292 Production Way, Burnaby, BC",3292,"Production Way",Burnaby,BC,"British Columbia","V5A 4R4",Lease,No,"Not required"
6511,Building,4321,"Still Creek Drive",Burnaby,BC,"British Columbia","V5C 6S7",Lease,No,"Not required"
15981,"3001 Wayburne Drive, Burnaby, BC (Lease 1)",3001,"Wayburne Drive",Burnaby,BC,"British Columbia","V5G 4W3",Lease,Yes,Yes
18053,"Government of Canada Building - Federal Annex",940,"Alder Street","Campbell River",BC,"British Columbia","V9W 2P8",Crown-owned,Yes,Yes
12852,Building,950,"Alder Street","Campbell River",BC,"British Columbia","V9W 2P8",Lease,No,"Not required"
6487,Building,1421,"Maple Street","Campbell River",BC,"British Columbia","V9W 5M4",Lease,No,"Not required"
19818,Building,1520,"Tamarac Street","Campbell River",BC,"British Columbia","V9W 3M5",Lease,No,"Not required"
53330,Building,2023,"Woodburn Road","Campbell River",BC,"British Columbia","V9W 4R3",Lease,No,"Not required"
19514,Building,9345,"Main Street",Chilliwack,BC,"British Columbia","V2P 4M3",Lease,No,"Not required"
13607,Building,44500,"Sumas Road",Chilliwack,BC,"British Columbia","V2R 5M3",Lease,No,"Not required"
21477,"8990 Young Rd, Chilliwack, BC",8990,"Young Road",Chilliwack,BC,"British Columbia","V2P 4R8",Lease,No,"Not required"
21494,"3179 Jacklin Rd, Colwood, BC",3179,"Jacklin Road",Colwood,BC,"British Columbia","V9B 3Y7",Lease,No,"Not required"
32939,Building,148,"Port Augusta Street",Comox,BC,"British Columbia","V9M 3N6",Lease,No,"Not required"
53274,Building,2963,"Glen Drive",Coquitlam,BC,"British Columbia","V3B 2P7",Lease,No,"Not required"
23646,Building,130,"19th Street",Courtenay,BC,"British Columbia","V9N 8S1",Lease,No,"Not required"
71870,"Provincial Courthouse",420,"Cumberland Road",Courtenay,BC,"British Columbia","V9N 2C4",Lease,Yes,Yes
20402,"2435 Mansfield Dr, Courtenay, BC",2435,"Mansfield Drive",Courtenay,BC,"British Columbia","V9N 2M2",Lease,No,"Not required"
47028,"Colbrook Building",1113,"Baker Street",Cranbrook,BC,"British Columbia","V1C 1A7",Lease,No,"Not required"
17427,"905-B Industrial No 2 Rd, Cranbrook, BC",905-B,"Industrial No 2 Road",Cranbrook,BC,"British Columbia","V1C 4C9",Lease,No,"Not required"
16073,Building,850,"King Street",Cranbrook,BC,"British Columbia","V1C 4E8",Lease,No,"Not required"
10147,Building,2715,"Theatre Road",Cranbrook,BC,"British Columbia","V1C 7B8",Lease,No,"Not required"
151965,"BC Cranbrook - 535 Victoria Ave N",535,"Victoria Avenue North",Cranbrook,BC,"British Columbia","V1C 6S3",Lease,No,"Not required"
14488,Building,1508,"102nd Avenue","Dawson Creek",BC,"British Columbia","V1G 2E2",Lease,Yes,Yes
28741,"Government of Canada Building - Annacis Marine Base",100,"Annacis Parkway",Delta,BC,"British Columbia","V3M 6A2",Crown-owned,No,"Not required"
103427,"Government of Canada Building - Annacis Island Office",100,"Annacis Parkway",Delta,BC,"British Columbia","V3M 6A2",Crown-owned,No,"Not required"
103430,"Government of Canada Building - Annacis Island Warehouse",100,"Annacis Parkway",Delta,BC,"British Columbia","V3M 6A2",Crown-owned,No,"Not required"
21007,Building,211,"Jubilee Street",Duncan,BC,"British Columbia","V9L 1W8",Lease,No,"Not required"
17784,Building,5245,"Trans Canada Highway",Duncan,BC,"British Columbia","V9L 5J2",Lease,No,"Not required"
17410,"Esquimalt Graving Dock - Building 1001 - Back Guard House",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 1002 - Office",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 1007 - Kiln",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 1014 - Workshop Storage",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,Yes,Yes
17410,"Esquimalt Graving Dock - Building 1022 - Back Washroom",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 1032 - Water Meter Shed",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 1033 - North Landing Wharf Sub-Station",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 1062 - POL Hazmat Storage",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 1063 - POL Hazmat Storage",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
17410,"Esquimalt Graving Dock - Building 2000 - Service Entrance Substation",825,"Admirals Road",Esquimalt,BC,"British Columbia","V9A 2P1",Crown-owned,No,Yes
