title,abstract
A New Era of Applied AI: How to Accelerate Enterprise Adoption of AI for Business Impact,"Global spend on AI continues to explode, even during the current economic climate, as C-Suite and senior executives realize the importance AI has and will have on their business models. Despite these massive investments, enterprises are challenged to show ROI from their AI initiatives due to complexity and lack of business adoption.

Gaurav will share his perspective on market trends in machine learning and AI as well as the challenges current enterprises face to deliver business value from data-centric AI. While business users and developers work in separate environments with separate tools, he will cover how to effectively bridge AI with business decision makers, the capabilities required, and example of doing this with a universal semantic layer."
Operationalizing Organizational Knowledge with Data-Centric AI,"Data-centric AI broadly describes the idea that *data*, rather than models, is increasingly the crux of success or failure in AI for many settings and use cases. More specifically, data-centric AI defines ML development workflows that center around principally iterating on the *training data*–e.g. labeling, sampling, slicing, augmenting, etc.–rather than the model architecture. In this talk, I'll describe how programmatic or weak supervision can not only facilitate these data-centric workflows (in ways that manual labeling cannot), but more importantly, will present an overview about how it can serve as an API for rich organizational knowledge sources, presenting recent technical results and user case studies."
Real-time Data Science Made Easy,"By 2025, analysts estimate that 30% of generated data will be real-time data.  This is 52ZB of real-time data per year and is roughly the amount of total data produced in 2020!  Soon, almost every data scientist and data engineer will be working with real-time data.  The future of data science is real-time. Existing technologies for working with static data fail when applied to real-time data because they have no way to incrementally update calculations and visualizations.  To make such enormous volumes of changing data useful, we need a toolkit for managing data, performing data science, and visualizing results in real-time.  In this talk, we will explore production-quality, real-time data science using the current leading open, real-time technologies:  Kafka, redpanda, ksqlDB, Materialize, and Deephaven Community Core.

Session Outline:
Concepts that will be discussed:
 Key components needed in a real-time data analytics system and how to choose the best open
options for your use case.
 Why are current static technologies, such as SQL and Pandas, unsuited to real-time data science?
(Transactional DB vs streaming table)
 Design patterns for building flexible real-time workflows.
 Efficiently publishing real-time data to many users in a programming language agnostic way.
 Using both real-time and static data in the same query. 
 Data exploration, visualization, and dashboards in real-time.
 Query language selection for data science: SQL (ksqlDB and Materialize) vs data-frame
(Deephaven).
 Working with time series.
 Real-time AI/ML on streams of data.
 Do current tools, such as Pandas, Matplotlib, and TensorFlow, have a place in a real-time world?"
Turning your Data/AI Algorithms into Full Web Apps in no Time with Taipy,"In the Python open-source eco-system, many packages are available that cater to:
- the building of great algorithms
- the visualization of data
- back-end functions
Despite this, over 85% of Data Science Pilots remain pilots and do not make it to the production stage.
With Taipy, Data Scientists/Python Developers will be able to build great pilots as well as stunning production-ready applications for end-users.
Taipy provides two independent modules: Taipy GUI and Taipy Core.

In this talk, we will demonstrate how:
Taipy-GUI goes way beyond the capabilities of the standard graphical stack: Gradio, Streamlit, Dash, etc.
Taipy Core is simpler yet more powerful than the standard Python back-end stack: Airflow, MLFlow, Luigi, etc.

Bio: "
Inclusive Search and Recommendations,"To truly bring everyone the inspiration to create a life they love, Pinterest is committed to content diversity and to developing inclusive search and recommendation engines. A top request we hear from Pinners is that they want to feel represented in the product. This is why we built the skin tone range and hair pattern technologies. These machine learning technologies are paving the way for more inclusive inspirations in Search and our augmented reality technology Try-On, and driving advances for more diverse recommendations across the platform. Developing inclusive AI in production requires an iterative and collaborative approach. We have learned the importance of building inclusive systems by design, of measuring to make progress, and of leveraging both artificial and human intelligence. We recognize that these challenges are multi-disciplinary, not just technical. In this talk, we describe sources of bias in ML for search and recommendation systems, techniques to mitigate bias, and production examples from our work at Pinterest to build inclusive search and recommendations."
Emerging Approaches to AI Governance: Tech-Led vs Policy-Led,"Over the past few years, many have become more familiar with the potential risks posed to the improper deployment and usage of AI/ML systems. Companies of almost all sizes and across almost all sectors have seen examples of major AI failures, leading into significant decay in trust of these systems. As a result, stakeholders across organizations have emerged as interested in remediating these risks and getting a handle on AI -- in owning AI governance. Some are drawn to technical capabilities which promise solutions to ethical problems and enable quality. Others rely on existing compliance and policy methods to enforce standards. In this session, we will describe what these different approaches look like, the pros and cons of each, and considerations to build a robust framework around AI governance that engages technical, business, and compliance teams."
5 Questions Business Leaders Should Ask When Investing in Machine Learning Projects,"While there is a lot of pressure on business leaders to leverage machine learning in their areas, there isn't a clear framework of how these leaders should decide on which ML projects to invest in and which ones not to invest in! This is a key reason why many ML project get left mid-way and many others don't show ROI post implementation - even after thousands of human hours have been put into them. In this session, you, as a business leader, will learn 5 questions that you must answer in deciding which ML project to invest - from prioritization to measuring real impact. I'll also share my experience seeing ML projects in action, driving real value, with use cases covering various industries."
“DataOps 2.0” – How the Changing MLOps Landscape is Reinventing DataOps,"Today, commercial deployments of MLOps at a scale are going through an evolutionary change across almost all verticals and use cases. Notably, deployment and product at a scale are seeing a whole slew of commercialization issues arise as “edge cases” become more significant at scales of thousands, millions or even billions. As a result, “traditional pre-deployment training” is no longer sufficient to ensure quality and reliability standards in production, especially in edge devices. Personalization at the edge - cards, phones, cameras, etc. need to be continuously trained with custom & specific data relevant to their individual usage or environment to be safe and accurate. For example, the neural networks that govern the way an autonomous vehicle drives in New York City is not the same in Kansas City or Mexico City, and surely not in Yellowstone National Park. The explosions of data streams from billions of “sensors” in real & virtual worlds need to be constantly processed for retraining models and data preparation is getting extremely complex as use-cases strive to replicate normal human behavior.

The selection of a DataOps partner to navigate this scale, fragmentation, volume and complexity is undergoing major metamorphosis, too. Selection criteria based on basic workforce efficiency and cost metrics is not sufficient. In fact, they could be counter-productive to your goals of robust, production-ready ML applications. Key KPIs that are fast emerging as critical for almost all ML applications such as data preparation and annotation (DataOps) is no longer a “one way street” process feeding the MLOps cycle, but is intricately fused to it at multiple stages. The talent ask is now beyond someone who can draw polygons around objects in an image and they also need to be subject matter experts with significant experience in a vertical or use-case. The usage of a “crowd” is no longer the optimal solution for many applications. The technical ability (technique) needed for these complex DataOps projects can only be groomed through long-time employment, experience, and comprehensive training. Technology’s role in DataOps has become more important than ever before. A robust workforce, project, task, and data management platform is one of the most critical pieces to cater to the scale. Usage of tooling to improve productivity, efficiency, accuracy as well as automation are also must-haves in an efficient, scalable DataOps platform. For example, Edge case analysis is now a critical part of scaling in production. An edge case in a pilot deployment will surely be unacceptably common in a commercial fleet. This requires tools and talent to work synergistically, with a deep understanding of the client’s application and training methodology. iMerit ensures continued success for your MLOps application, development, evaluation and tracking metrics across all 3 criteria above is very critical. Only a few DataOps companies have managed to make the transition and provide a robust integrated end-to-end solution. A still smaller fraction can keep pace with the scale, performance and automation roadmaps of this fast-changing industry, and iMerit is at the helm as one of the industry leaders."
"Look, Listen, Read: Unified AI with TorchMultimodal","Multimodal AI is a fast-growing field where deep neural networks are trained using multiple types of input data simultaneously (e.g. text, image, video, audio). Multimodal models perform better in content understanding applications, and are setting new standards for content generation in models such as DALL-E and StableDiffusion. Building multimodal models is hard; In this session we share more about multimodal AI, why you should care about it, what are some challenges you might face and how TorchMultimodal, our new PyTorch domain library eases the developer experience of building multimodal models."
Using Causal Inference Model to Set Up Financial Goals of Company,"In this session, we will talk about innovation in traditional financial planning. We developed a machine learning process to produce quarterly and annual goals for the company. The business question is """"if we do X, what would happen in Y"""". In Economics and Machine learning, this type of question is called """"Causal inference"""" to predict an outcome after an action. In Finance, the company has goals for certain top business metrics such as revenue and number of users, and each business team (marketing, sales, etc.) will be responsible to achieve goals.

The causal inference process will automatically look for factors that can lead to moving a business metric. In our example, one of the top primary goals is to increase revenue. Senior executives want to increase revenue by moving the number of monthly active users (MAU), the cost per acquisition, and several other leadership metrics. If we have a goal of increasing revenue by 20%, how many more MAU should we have? This type of causal question is answered by causal models.

Causal models are not just linear regression. They are machine learning-based models to control other variables as fixed numbers to observe the impact between X and Y. During the session, we not only provide the business problem and results, but also want to provide practical advice in our modeling process. Lastly, we will share unique experience of working with cross-functional leadership from product, marketing, finance, and operations."
A Decade of Machine Learning Accelerators:Lessons Learned and Carbon Footprint,"The success of deep neural networks (DNNs) from Machine Learning (ML) has inspired domain specific architectures (DSAs) for them. Google’s first generation DSA offered 50x improvement over conventional architectures for ML inference in 2015. Google next built the first production DSA supercomputer for the much harder problem of training. Subsequent generations greatly improved performance of both phases. We start with ten lessons learned from such efforts.

The rapid growth of DNNs rightfully raised concerns about their carbon footprint. The second part of the talk identifies the “4Ms” (Model, Machine, Mechanization, Map) that, if optimized, can reduce ML training energy by up to 100x and carbon emissions up to 1000x. By improving the 4Ms, ML held steady at <15% of Google’s total energy use despite it consuming ~75% of its floating point operations. With continuing focus on the 4Ms, we can realize the amazing potential of ML to positively impact many fields in a sustainable way."
Applied Natural Language Processing for Cybersecurity: Taming the Bleeding Edge Language Models for Practical Security Use Cases,"Applied Natural Language Processing for cybersecurity: Taming the bleeding edge language models for practical security use cases

We have new and powerful natural language models cropping up almost every month, each with more than a billion parameters, capable of numerous open-ended human-like language tasks – like conjuring up crazy concoctions of realistic images from unrealistic human descriptions. But how can they be useful for practical purposes in the cybersecurity domain? Have we solved all the low hanging fruits related to existing security bottlenecks and automation of all kinds of security events analysis?

Following questions will be proposed to the panel for discussion:

1. Large Language Models – A new Moore’s Law? Can multibillion parameter models be finally used for practical infosec use cases?

2. Have we explored tried and tested NLP techniques being successfully used in other domains – for e.g. Topic Modeling in advertisement and SEO (Search Engine Optimization) industry – are these being successfully adapted for infosec use cases? What are other examples?

3. Infosec benchmark datasets for language modeling – is enough work being done here? How can we move the needle here?

4. Dangers and pitfalls of open-ended language models in infosec"
Continual Learning of Natural Language Processing Tasks,
The Next Thousand Languages,"Low-resource languages present a challenge for data-hungry approaches to machine translation, speech recognition, and other technologies that promise to open the way for universal participation in the global information society. In this talk I will present a new perspective on the language technology for all (LT4All) agenda, beginning with the structure of the world's linguistic diversity and the actual linguistic challenges on the ground. I will draw on experiences working in societies where there is no clear case for the popular practice of replicating human capabilities in translation or speech recognition, but where there are myriad other opportunities for language technologies. I will describe new ways of working with local communities, oral languages, and human-curated linguistic resources. The result is a radically inclusive approach to language technology which embraces and sustains linguistic diversity."
Causal/Prescriptive Analytics in Business Decisions,"In this talk, I will provide a holistic review of the research methods and tools for causal analytics in business decisions. I focus especially on causal inference in data science. I will discuss a decision tree that helps data scientists to identify the best causal research method based on the problem, context, and the nature of the data. I will draw on my proprietary research on prescriptive analytics (https://docs.google.com/document/d/1b8yaDzriVB2JyIBNQMsUn-uz4bXnsdFe6hTLLTOs1q4/edit). In addition, to give some high-level overviews of the business use cases, I will also draw insights from use cases in the investment industry, and my previous academic role as a Business Professor leading multiple National Science Foundation-sponsored commercial research projects on AI, including Explainable AI (XAI) and Causal Analytics with Human Expertise. Some of the tools and previews can be found on https://www.gopeaks.org/applications."
Responsible AI a Global Imperative for Governments and Business – Now and the Future,"AI is ever more ubiquitous in our lives but all countries are not created equal in their access to or use of AI. Likewise all countries and businesses do not adhere to the same regulatory frameworks or opinions on governance. Yet all companies would benefit from knowing where they stand so that investment in technology is not ultimately wasted. Likewise, access to AI is being used as a geopolitical tool. What lessons are we able to draw and adopt now and how might this thinking mature into the future."
Making ML Scaling Easy,"Over the past decade the computation demands of machine learning (ML) workloads have grown much faster than the capabilities of a single processor, including hardware accelerators such as GPUs and TPUs. As a result researchers and practitioners have been left with no choice but to distribute these workloads. Unfortunately, developing distributed applications is very challenging. In this talk I will present two projects we developed at UC Berkeley, Ray (https://github.com/ray-project/ray) and Alpa (https://github.com/alpa-projects/alpa), that dramatically simplify scaling ML workloads"
"Why you can’t Apply Common Software Best Practices Directly to Data Workflows, and What you can do About it","Every day, virtual mountains of data are collected and stored at unfathomable speeds. As data volume grows exponentially, the data workflow becomes more complex as an avalanche of data makes it challenging to identify, cleanse, mine, pivot and use it for both insights and AI powered product features.

To derive the most value from their data, data professionals must be able to set up their workflow in a way that will maximize not only their own efficiency and productivity but also data reproducibility. To do this, data teams borrow a lot of best practices from software engineering like testing, version control, documentation and continuous integration and deployment (CI/CD), but there are important differences in how these are implemented with data workflows that hamper the success of data teams.

This presentation will outline the specific challenges to adopting software engineering best practices for data and analytics workflows, why they exist, and how data scientists can craft environments to best address common pitfalls and encourage reproducibility.

Specifically:

- what it really means to ‘version control’ data sets (and why it's not what most people think). The session will elaborate on the different motivations for version control in production software environments and production data environments, and discuss best practices for versioning in a data specific workflow..
- what CI/CD needs to look like to best enable a team to collaborate on a data workflow. For example, how to best design data integration tests that go beyond checking for null or unexpected values to enable a team to make changes to a data workflow without compromising downstream dependencies.
- “the why” behind several canonical data modeling best practices that are prevalent today (e.g. a staging layer in your data model), and how they contribute to reproducibility in data workflows.

The session will cover specific actions leaders can take and offer real life examples and use cases. Attendees will walk away with a deeper understanding of how to avoid common pitfalls, how to improve team collaboration and reproducibility in data workflows."
Four Reasons the Data Science Development Experience Sucks,
HP’s 3D Digital Twin: Synthesize Data and Domain Science to Improve Additive Manufacturing Production Yield,
Data Analytics at Scale: A Four-legged Stool,"In this talk, I discuss four tactics that enable successful enterprise analytics efforts. The first concerns data integration. Because essentially all enterprise data resides in data silos, an integration effort is required before meaningful cross-silo analysis is possible. Data science practitioners routinely report spending at least 80% of their time doing “data preparation” (aka data munging). I describe why this activity is hard and tactics that can be employed to make it less costly. Once one has clean cross-silo data, then two further tactics entail using an analytics suite and an information discovery tool. The first is required to do data analytics while the second is necessary when one doesn’t know what analysis to perform. I discuss desired features of each tool, as well as make some comments about machine learning. The fourth tactic entails data lakes and lake houses. Please put everything in a DBMS, so the integration challenge of data lakes is as manageable as possible."
Data Science Without Data Collection Using FedScale,"Cloud computing has successfully accommodated the three """"V""""s of Big Data into data science, but collecting everything into the cloud is becoming increasingly infeasible. Today, we face a new set of challenges. A growing awareness of privacy among individual users and governing bodies is forcing platform providers to restrict the variety of data we can collect. Often, we cannot transfer data to the cloud at the velocity of its generation. Many cloud users suffer from sticker shock, buyer's remorse, or both as they try to keep up with the volume of data they must process. Making sense of data closer to its home is more appealing than ever.

Federated learning is a growing field that attempts to address this challenge by distributing learning and analytics tasks to end-user devices. Although theoretical federated learning research is growing exponentially to meet these challenges, we are far from putting those theories into practice. In this talk, I will introduce FedScale, a scalable and extensible open-source federated learning and analytics platform. It provides high-level APIs to implement algorithms, a modular design to customize implementations for diverse hardware and software backends, and the ease of deploying the same code at many scales. FedScale also includes a comprehensive benchmark that allows data scientists to evaluate their ideas in realistic, large-scale settings. I will highlight a select few systems successfully built using FedScale and share insights from benchmarking recent algorithms using FedScale."
Super Data Science Podcast with Jon Krohn: Responsible Decentralized Intelligence featuring Dawn Song,
"Scalable, Real-Time Heart Rate Variability Biofeedback for Precision Health: A Novel Algorithmic Approach","Heart rate variability biofeedback (HRV-B) is a clinically effective therapy in which patients can improve their mental and physical well-being through real-time monitoring of the heart-rate and specialized breathing techniques. HRV-B can improve health outcomes in a number of medical or wellness-related conditions, ranging from depression and anxiety, to cardiovascular disease, asthma, cancer fatigue, women’s health, better sleep, peak athletic performance, and stress resilience. The effectiveness of HRV-B in treating these conditions is due to how it modulates the nervous system connections linking the brain and heart, particularly the baroreflex. HRV-B is now entering digital health and wellness; however, traditional metrics and algorithms were designed for research or in-person clinical care. Hence, Dr. Aschbacher brings her unique integrative experience as a Head of Data Science, an Adjunct Associate Professor at UCSF, and a licensed, HRV-certified Psychotherapist in order to present a novel algorithm that runs real-time in an app, provides user feedback that is actionable and immediate, and personalizes the challenge for each user’s unique physiology. You will learn: 1) who benefits most from HRV-B, 2) how to model it from a data science perspective, and 3) why it represents a unique market differentiator. We present a novel algorithm that combines nonlinear machine learning models with time series analytic and signal processing techniques in order to derive an algorithmic strategy to provide real-time HRV biofeedback. The pipeline employed is built using interbeat interval data collected from several thousand users of a digital mental health program, and involves SQL, python, and javascript code run in a Google Cloud infrastructure. Finally, we employ user-centered design and behavior change principles to build the precision models in a manner intended to achieve clinically meaningful outcomes. This presentation is geared to provide audience members at all levels with an accessible introduction to HRV-B as a treatment tool, with the data algorithmic portions focused toward an intermediate level of proficiency."
From AutoML to AutoMLOps,"Most data science teams start their AI journey from what they perceive to be the logical beginning: building AI models using manually extracted datasets. Operationalizing machine learning, in the sense of considering all the requirements of the business; handling online and federated data sources, scale, performance, security, continuous operations, etc. comes as an afterthought, making it hard and resource-intensive to create real business value with AI.

Today, forward-thinking enterprises are taking a new, production-first approach to MLOps. This means designing a continuous operational pipeline, and then making sure the various components and practices map into it. Automating as many components as possible, constantly measuring business metrics and making the process repeatable, so that it generates measurable ROI for the business.

In this session, we will describe the challenges in operationalizing machine & deep learning. We’ll explain the production-first approach to MLOps pipelines - using a modular strategy, where the different components provide a continuous, automated, and far simpler way to move from research and development to scalable production pipelines. Without the need to refactor code, add glue logic, and spend significant efforts on data and ML engineering.

We will cover various real-world implementations and examples, and discuss the different stages, including automating feature creation using a feature store, building CI/CD automation for models and apps, deploying real-time application pipelines, observing the model and application results, creating a feedback loop and re-training with fresh data."
Addressing the High Failure Rate of AI & ML Projects – Practical Examples from the Field,"Despite the rapid evolution of AI, projects still fail at a disappointingly high rate. In the past, capturing data at scale and building models was the challenge, but today we're confronted with the issue of making AI more robust while avoiding the risk of unintended consequences. While the tools are new, many challenges remain the same. In this talk, I will share real-world stories and applied examples that demonstrate:
* How to build the business case for an AI project (and get buy-in)
* Navigating AI project management to prevent failure
* How to mitigate the risks of unintended consequence from using AI"
Unified and Efficient Multimodal Pretraining Across Vision and Language,"In this talk, I will present work on enhancing the important aspects of unification, generalization, and efficiency in large-scale pretrained models across vision and language modalities, via different methods and directions of visual grounding for improving both multimodal and text-only NLU tasks. We will start by discussing joint vision and language pretraining models such as LXMERT (large-scale cross-modal pretraining). Next, we will present VL-T5 to unify several multimodal tasks (such as visual question answering, referring expression comprehension, visual reasoning/entailment, visual commonsense reasoning, captioning, and multimodal machine translation) by treating all these tasks as text generation. We will then discuss the direction of improving text-only NLU tasks via visually-grounded supervision and distillation from image and video knowledge transfer (Vokenization, VidLanKD). Finally, we will look at parameter/memory efficiency in VL pretraining via adapter/sidetuning, sparse sampling, and audio replacement methods."
A Tale of Adversarial Attacks & Out-of-Distribution Detection Stories in the Activation Space,"Most deep learning (DL) models assume ideal conditions and rely on the assumption that test/production data comes from the in-distribution samples from the training data. However, this assumption is not satisfied in most real-world applications. Test data could differ from the training data either due to adversarial perturbations, new classes, generated content, noise, or other distribution changes. These shifts in the input data can lead to classifying unknown types, classes that do not appear during training, as known with high confidence. On the other hand, adversarial perturbations in the input data can cause a sample to be incorrectly classified. In this talk, we will discuss approaches based on group-based and individual subset scanning methods from the anomalous pattern detection domain and how they can be applied over off-the-shelf DL models."
Responsible AI Is Not an Option,"Artificial intelligence (AI) is today widely used to inform and shape strategies and services across a multitude of industries. But the decisions made by AI algorithms can appear callous and even careless. In his talk “Responsible AI Is Not an Option,” Dr. Scott Zoldi brings to bear his decades of experience in delivering analytic innovation in a highly regulated environment, to underscore the urgency with which the topics of AI fairness and bias must be ushered onto Boards of Directors’ agendas. In his dynamic presentation, Dr. Zoldi spells out the “why” and “how” of fulfilling the social covenant and soon, regulatory requirements of enterprises using AI ethically, transparently, securely and in their customers’ best interests.

Dr. Zoldi will provide prescriptive advice on how to identify key business risks associated with AI and best practices to proactively mitigate them. He approaches the challenge from his dual role as a business leader and a data scientist, presenting the steps to create a culture of AI responsibility and enforce it with Responsible AI governance. These eight fluid steps comprise:

1. Build a diverse team
2. Establish a robust foundation
3. Respect the power of data
4. Ensure explainability
5. Establish Ethical AI guardrails
6. Make AI innovation efficient
7. Establish proper governance
8. Evangelize responsibility

With roots and training as a physicist tempered with operational reality, Dr. Zoldi’s presentation deftly navigates AI’s power to transform the world with the recognition that with great power comes great responsibility. In this way, “Responsible AI Is Not an Option”—it’s a top requirement for all modern businesses."
Tackling Supply Chain Issues with Data and Analytics – Tales from the War Room,
Detecting Changes Over Time with Bayesian Change Point Analysis in R,Did my data change after a certain intervention? This is a common question with data observed over time. Classical statistical and engineering approaches include control charts to see if the series falls outside of the normal boundaries of expected data. A Bayesian approach to this problem calculates the probability that the data series changes at every point along the series. Bayesian change point analysis allows the analyst to evaluate a whole series and look where the highest probability of change occurred. Has the financial asset lost value after the recent financial report? Are the healthcare outcomes at this hospital better after our new process to help patients? Did the manufacturing process improve after upgrading the machinery? All these questions and more can be answered with these techniques which will be shown in R.
Improving Predictions on High-Resolution Aerial Video Using Multi-Stage Convolutional Neural Networks,"Is your Generative adversarial neural network (GANs) not producing representative synthetic data? If yes, that is no surprise because training a GAN to produce quality data representative of the natural distributions is more complex than traditional predictive modeling. Ensuring the data is representative often requires an analysis of the covariate relationships and a comparison of the moments in the synthetic and natural (actual) distributions. This presentation will detail how a genetic algorithm can be combined with a set pseudo discriminators to automate constructing a better GAN."
Interpretable AI or How I Learned to Stop Worrying and Trust AI,"With breakthroughs in areas such as image recognition, natural language understanding and board games, AI and machine learning are revolutionizing various industries such as healthcare, manufacturing and finance. As complex machine learning models are being deployed into production, the understanding of them is becoming very important. The lack of a deep understanding can result in models propagating bias and we’ve seen examples of this in criminal justice, politics, retail, facial recognition and language understanding. Explaining or interpreting AI is a hot topic in research and the industry, as modern machine learning algorithms are black boxes and nobody really understands how they work. Moreover, there is EU regulation now to explain AI under the GDPR “right to explanation”. Interpretable AI is therefore a very important topic for AI practitioners. In this talk, I will give an overview of a few state-of-the-art interpretability techniques and how you could build explainable AI systems."
Open-source Data Curation and Governance for Large and Growing Data Lakes,"Data Lake Technology provides a powerful way to process, refine, and present huge volumes of diverse data. But this comes at a cost. As a Data Lake evolves, it grows in size and complexity. If not properly managed, a Data Lake can outgrow the abilities and resources of the team that manages it, negatively impacting the usefulness of an organization’s data and slowing or halting the team’s implementation of new analytics and applications. In this talk, Roger Dev showcases how the open source HPCC Systems platform has developed an open-source data curation and governance system called Tombolo to complement the powerful storage and compute capabilities of the HPCC Systems Data Lake operating system.

Session Outline:

Roger will demonstrate how the system enables you to:

1. Curate data – the ability to automatically identify and classify a data file
2. Govern sensitive data – automatically identify sensitive data files, apply any necessary usage restrictions to that data, and
3. Keep accurate records - of who, how, and when a user or application interacts with a sensitive data file"
Women’s Ignite,
Causal AI,"Causal inference is increasingly an indispensable tool of data science, machine learning, and data-driven decision-making. In this talk I will present the state-of-play in causal machine learning. I cover the problems that matter in practice, with emphasis on the tech and retail industries. I will also talk about trends in opensource tools for causal inference. Finally, I'll show examples from DoWhy and its sister package EconML, which together form the PyTorch of causal inference."
